date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-05-17,2021,Emergency Response Fund - response to conflict and displacement,78395,"Denmark, Government of",Government,DNK,2021,2021,Sudan Humanitarian Response Plan 2021,HSDN21,1014,Adventist Development and Relief Agency,NGO,,SDN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-28,2021-05-17,,481500,DKK,6.142,233927,2017-12478,2021-06-29,2021-06-30
2021-05-12,2021,Response to COVID-19,62343,"Denmark, Government of",Government,DNK,2021,2021,Nepal Covid-19 Response Plan 2021,ONPL21,1048,ActionAid International,NGO,Health,NPL,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-21,2021-05-12,,382910,DKK,6.142,232088,2017-12483,2021-06-29,2021-06-30
2021-05-07,2021,Response to COVID-19,44810,"Denmark, Government of",Government,DNK,2021,2021,,,,ActionAid International,NGO,Health,IND,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-21,2021-05-07,,275225,DKK,6.142,232090,2017-12483,2021-06-29,2021-06-30
2021-05-06,2021,COVID-19 Response,423315,"Denmark, Government of",Government,DNK,2021,2021,,,,Save the Children,NGO,Health,IND,,,Coronavirus disease Outbreak - COVID -19,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-17,2021-05-06,,2600000,DKK,6.142,231842,2017-12471-2,2021-06-29,2021-06-30
2021-05-05,2021,Response to Conflict,44927,"Denmark, Government of",Government,DNK,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,ActionAid International,NGO,Food Security,MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-21,2021-05-05,,275942,DKK,6.142,232089,2017-12483,2021-06-29,2021-06-30
2021-05-04,2021,Response to drought,304868,"Denmark, Government of",Government,DNK,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,Danish Refugee Council,NGO,Coordination and support services,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-17,2021-05-04,,1872500,DKK,6.142,231843,2017-12467,2021-06-29,2021-06-30
2021-05-03,2021,Annual Programme 2021,764477,"Denmark, Government of",Government,DNK,2021,2021,South Sudan Humanitarian Response Plan 2021,HSSD21,1013,OXFAM GB,NGO,,SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-04,2021-05-03,,4695415,DKK,6.142,231268,2017-12486,2021-06-29,2021-06-30
2021-05-03,2021,Annual Programme 2021,254825,"Denmark, Government of",Government,DNK,2021,2021,Burkina Faso Humanitarian Response Plan 2021,HBFA21,1037,OXFAM,NGO,,BFA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-04,2021-05-03,,1565138,DKK,6.142,231269,2017-12486,2021-06-29,2021-06-30
2021-05-03,2021,Annual Programme 2021,254825,"Denmark, Government of",Government,DNK,2021,2021,,,,OXFAM,NGO,,MLI,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-04,2021-05-03,,1565138,DKK,6.142,231270,2017-12486,2021-06-29,2021-06-30
2021-05-03,2021,Annual Programme 2021,509651,"Denmark, Government of",Government,DNK,2021,2021,,,,OXFAM,NGO,,UGA,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-04,2021-05-03,,3130277,DKK,6.142,231271,2017-12486,2021-06-29,2021-06-30
2021-05-03,2021,"Annual Programme 2021, Innovation",150220,"Denmark, Government of",Government,DNK,2021,2021,,,,OXFAM,NGO,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-04,2021-05-03,,922649,DKK,6.142,231272,2017-12486,2021-06-29,2021-06-30
