date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-06-07,,OCT 9693 [OCT 9693];[D5.1/GG/HUM.04.01.04/ 2021/07/4500/1],7021792,"Belgium, Government of",Government,BEL,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-06-04,2021-05-10,,5800000,EUR,0.82,232575,[OCT 9693];[D5.1/GG/HUM.04.01.04/ 2021/07/4500/1],2021-06-04,2021-06-22
2021-06-07,2021,"Fournir un mécanisme de financement rapide et flexible pour répondre aux besoins humanitaires critiques

DRC Humanitarian Pooled Fund 2021",10290557,"Belgium, Government of",Government,BEL,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,Democratic Republic of the Congo Humanitarian Fund,Pooled fund,,COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-07-05,2021-06-07,UNDP,8500000,EUR,0.826,234752,Contribution Group ID 	7725,2021-07-05,2021-07-05
2021-05-10,,Unearmarked Unallocated Funds from Belgium [OCT 9694];[D5.1/GG/HUM.04.01.04/ 2021/07/4500/1],7021792,"Belgium, Government of",Government,BEL,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2022,2022,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-04,2021-05-10,,5800000,EUR,0.826,232576,[OCT 9694];[D5.1/GG/HUM.04.01.04/ 2021/07/4500/1],2021-06-04,2021-06-14
2021-05-10,,Unearmarked Unallocated Funds from Belgium. [OCT 9695];[D5.1/GG/HUM.04.01.04/ 2021/07/4500/1],7021792,"Belgium, Government of",Government,BEL,2021,2021,,,,Office for the Coordination of Humanitarian Affairs,UN agency,Coordination and support services,,,,,2023,2023,financial,Standard,Traditional aid,outgoing,single,commitment,2021-06-04,2021-05-10,,5800000,EUR,0.826,232577,[OCT 9695];[D5.1/GG/HUM.04.01.04/ 2021/07/4500/1],2021-06-04,2021-06-14
2021-04-07,2021,Assurer la fourniture d’aide durant ou immédiatement après une catastrophe afin de préserver la vie et de répondre aux besoins de subsistances de base des personnes affectées par cette catastrophe.,5861665,"Belgium, Government of",Government,BEL,2021,2021,,,,International Federation of Red Cross and Red Crescent Societies,Red Cross/Red Crescent,Protection,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-05-19,2021-04-07,,5000000,EUR,0.853,231940,FF/2021/01 - 3636,2021-05-20,2021-06-24
2021-03-29,,Agriculture assistance to food insecure and vulnerable population affected by COVID -19 in the border states of Venezuela,350000,"Belgium, Government of",Government,BEL,2021,2021,Venezuela Humanitarian Response Plan 2021,HVEN21,1029,Food & Agriculture Organization of the United Nations,UN agency,,VEN,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-06,2021-03-29,,,,,229530,OSRO/VEN/100/BEL,2021-04-07,2021-04-07
2021-03-25,2021,"Fournir un mécanisme de financement rapide et flexible pour répondre aux besoins humanitaires critiques

DRC Humanitarian Pooled Fund",10155316,"Belgium, Government of",Government,BEL,2021,2021,,,,Democratic Republic of the Congo Humanitarian Fund,Pooled fund,,COD,,,,2021,2023,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-05-19,2021-03-25,"Multiyear,UNDP",8500000,EUR,0.837,231939,FF/2021/05 - 3633,2021-05-20,2021-07-05
2021-03-18,2021,Protéger les civils et empêcher que la population ne plonge davantage dans la pauvreté et la vulnérabilité.,4778973,"Belgium, Government of",Government,BEL,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,Protection,ETH,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-03-18,,4000000,EUR,0.837,229693,PJ/2021/01 - 3628,2021-04-10,2021-05-06
2021-03-14,,Belgium Open Items 2021,10,Private (individuals & organizations),Private organization/foundation,BEL,2021,2021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),RREG21,1021,United Nations High Commissioner for Refugees,UN agency,,"ABW,ARG,BOL,BRA,CHL,COL,CRI,CUW,DOM,ECU,GUY,MEX,PAN,PER,PRY,TTO,URY",,,VENEZUELA Outflow - Regional Refugees and Migrants,2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-03-14,,8,EUR,0.8,231899,E5056,2021-05-19,2021-05-19
2021-03-14,,Belgium Open Items 2021,104,Private (individuals & organizations),Private organization/foundation,BEL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-03-14,,85,EUR,0.8173,232118,E5056,2021-05-24,2021-05-24
2021-03-08,2021,"Mettre un terme à la faim et à la pauvreté est un objectif à la fois ambitieux et complexe. Mais dans un monde en pleine évolution et interdépendant, cette tâche devient plus importante et plus urgente que jamais.",11947431,"Belgium, Government of",Government,BEL,2021,2021,,,,Food & Agriculture Organization of the United Nations,UN agency,,,,,,2021,2023,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-04-09,2021-03-08,Multiyear,10000000,EUR,0.837,229692,FF/2021/02 - 3622,2021-04-10,2021-05-06
2021-02-28,,Belgium Open Items 2021,382,Private (individuals & organizations),Private organization/foundation,BEL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-02-28,,314,EUR,0.822,232117,E5056,2021-05-24,2021-05-24
2021-02-12,2021,"Sauver des vies dans les situations d’urgence, protéger et remettre en état les moyens d’existence dans les situations de crise prolongée, s’attaquer à la faim chronique et renforcer les capacités de lutter contre la faim.",18203883,"Belgium, Government of",Government,BEL,2021,2021,,,,World Food Programme,UN agency,,,,,,2021,2024,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-03-04,2021-02-12,Multiyear,15000000,EUR,0.824,228482,MU/2021/01 - 3264,2021-03-05,2021-03-08
2021-02-12,2021,To make a significant contribution to the impact of humanitarian assistance and protection.,182039,"Belgium, Government of",Government,BEL,2021,2021,,,,Active Learning Network for Accountability and Performance,Private organization/foundation,Protection,,,,,2021,2024,financial,Standard,Traditional aid,outgoing,shared,commitment,2021-04-01,2021-02-12,Multiyear,150000,EUR,0.824,229451,MU/2021/05 - 3614,2021-04-02,2021-04-06
2021-02-12,2021,Aider les réfugiés palestiniens à réaliser pleinement leur potentiel en matière de développement humain dans la situation difficile où ils se trouvent.,25485437,"Belgium, Government of",Government,BEL,2021,2021,,,,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,,,,,,2021,2024,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-04-30,2021-02-12,Multiyear,21000000,EUR,0.824,231196,MU/2021/04 - 3616,2021-05-01,2021-05-06
2021-02-04,2021,Le CICR fournit protection et assistance aux victimes civiles et militaires des conflits armés et d’autres situations de violence.,43689320,"Belgium, Government of",Government,BEL,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,,,,,,2021,2024,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-03-08,2021-02-04,Multiyear,36000000,EUR,0.824,228675,MU/2021/03 - 3611,2021-03-09,2021-03-09
2021-02-04,2021,"To protect and improve the lives of tens of millions of people of concern—refugees, returnees, internally displaced people, stateless persons, and others of concern.",36407767,"Belgium, Government of",Government,BEL,2021,2021,,,,United Nations High Commissioner for Refugees,UN agency,,,,,,2021,2024,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-03-15,2021-02-04,Multiyear,30000000,EUR,0.824,228940,MU/2021/02 - 3612,2021-03-16,2021-03-17
2021-02-04,2021,Le journalisme de TNH vise à contribuer à une action humanitaire plus efficace et plus responsable qui améliore la vie des personnes touchées par les crises.,546117,"Belgium, Government of",Government,BEL,2021,2021,,,,The New Humanitarian,NGO,Protection,,,,,2021,2024,financial,Standard,Traditional aid,outgoing,shared,commitment,2021-03-25,2021-02-04,Multiyear,450000,EUR,0.824,229322,MU/2021/06 - 3610,2021-03-26,2021-04-06
2021-01-31,,Belgium Open Items 2021,35,Private (individuals & organizations),Private organization/foundation,BEL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-01-31,,29,EUR,0.8286,232119,E5056,2021-05-24,2021-05-24
2021-01-14,,Belgium Open Items 2021,163,Private (individuals & organizations),Private organization/foundation,BEL,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,"EGY,IRQ,JOR,LBN,TUR",,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,shared,paid,2021-04-09,2021-01-14,,133,EUR,0.816,232116,E5056,2021-05-24,2021-05-24
2020-12-30,,Curbing the potential impacts of La Niña induced dry conditions / drought in Afghanistan,580000,"Belgium, Government of",Government,BEL,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,Food & Agriculture Organization of the United Nations,UN agency,Agriculture,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2020-12-30,2020-12-22,,,,,226150,,2020-12-30,2020-12-30
