date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-03-01,,"2nd Add 2021: Shelter Assessment after earthquake Petrinja
(Z7H314300144)",3945,"Switzerland, Government of",Government,CHE,2021,2021,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Government,Emergency Shelter and NFI,HRV,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-04-01,,,3720,CHF,0.943,229482,Z7H314300144,2021-04-06,2021-04-06
2021-02-16,,Slovenska Fundacja za UNICEF: Thematic Cross Sectoral- Croatia (earthquake),36408,United Nations Children's Fund,UN agency,,2021,2021,,,,United Nations Children's Fund,UN agency,,HRV,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,paid,2021-03-05,2021-02-16,,,,,231885,SM1899100932,2021-05-19,2021-05-19
2021-02-01,,Slovenska Fundacja za UNICEF: Thematic Cross Sectoral- Croatia (earthquake),60219,United Nations Children's Fund,UN agency,,2021,2021,,,,United Nations Children's Fund,UN agency,,HRV,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,paid,2021-03-05,2021-01-18,,,,,231882,SM1899100932,2021-05-19,2021-05-19
2021-01-26,,Slovenska Fundacja za UNICEF: Thematic Cross Sectoral- Croatia (earthquake),60219,United Nations Children's Fund,UN agency,,2021,2021,,,,United Nations Children's Fund,UN agency,,HRV,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,paid,2021-03-05,2021-01-26,,,,,231884,SM1899100932,2021-05-19,2021-05-19
2021-01-19,,Slovenska Fundacja za UNICEF: Thematic Cross Sectoral- Croatia (earthquake),60219,United Nations Children's Fund,UN agency,,2021,2021,,,,United Nations Children's Fund,UN agency,,HRV,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,paid,2021-03-05,2021-01-19,,,,,231883,SM1899100932,2021-05-19,2021-05-19
