date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-04-07,2021,To save lives and alleviate suffering,504409,"Ireland, Government of",Government,IRL,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,ACT Alliance / Christian Aid,NGO,"Food Security,Protection,Protection - Child Protection,Protection - Gender-Based Violence,Protection - Housing, Land and Property,Protection - Mine Action",COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,430261,EUR,0.853,229687,CAID HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,433763,"Ireland, Government of",Government,IRL,2021,2021,Myanmar Humanitarian Response Plan 2021,HMMR21,1046,ACT Alliance / Christian Aid,NGO,"Food Security,Protection,Protection - Child Protection,Protection - Gender-Based Violence,Protection - Mine Action",MMR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,370000,EUR,0.853,229688,CAID HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,439625,"Ireland, Government of",Government,IRL,2021,2021,,,,ACT Alliance / Christian Aid,NGO,"Food Security,Protection",SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,375000,EUR,0.853,229689,CAID HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,409186,"Ireland, Government of",Government,IRL,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,Concern Worldwide,NGO,Emergency Shelter and NFI,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,349036,EUR,0.853,229718,Con HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,510006,"Ireland, Government of",Government,IRL,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,Concern Worldwide,NGO,"Food Security,Protection,Protection - Child Protection,Protection - Gender-Based Violence,Protection - Housing, Land and Property",CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,435035,EUR,0.853,229719,Con HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,459597,"Ireland, Government of",Government,IRL,2021,2021,,,,Concern Worldwide,NGO,Food Security,TCD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,392036,EUR,0.853,229720,Con HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,560416,"Ireland, Government of",Government,IRL,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,Concern Worldwide,NGO,Protection,COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,478035,EUR,0.853,229721,Con HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,510006,"Ireland, Government of",Government,IRL,2021,2021,,,,Concern Worldwide,NGO,Food Security,ETH,,,Ethiopia Tigray Complex Emergency,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,435035,EUR,0.853,229722,Con HPP 2021,2021-04-10,2021-05-20
2021-04-07,2021,To save lives and alleviate suffering,610826,"Ireland, Government of",Government,IRL,2021,2021,,,,Concern Worldwide,NGO,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,521035,EUR,0.853,229723,Con HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,153002,"Ireland, Government of",Government,IRL,2021,2021,Somalia Humanitarian Response Plan 2021,HSOM21,1011,Concern Worldwide,NGO,Nutrition,SOM,"Emergency Health and Nutrition Interventions to the Locusts, COVID 19 and Flood displacement affected Communities in Somalia",HSOM21-HEA;NUT-171717-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-04-09,2021-04-07,,130510,EUR,0.853,230117,Con HPP 2021,2021-04-16,2021-04-16
