date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-04-09,2021,To save lives and alleviate suffering,230490,"Ireland, Government of",Government,IRL,2021,2021,,,,World Vision Ireland,NGO,Coordination and support services,IRL,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-04-09,2021-04-09,,196608,EUR,0.853,229678,WV HPP 2021,2021-04-10,2021-04-16
2021-04-08,2021,To save lives and alleviate suffering,116401,"Ireland, Government of",Government,IRL,2021,2021,,,,OXFAM Ireland,NGO,Coordination and support services,IRL,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-04-09,2021-04-08,,99290,EUR,0.853,229727,Oxfam HPP 2021,2021-04-10,2021-04-16
2021-04-08,2021,To save lives and alleviate suffering,199487,"Ireland, Government of",Government,IRL,2021,2021,,,,Plan Ireland,NGO,Coordination and support services,IRL,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-04-09,2021-04-08,,170162,EUR,0.853,229731,Plan HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,726703,"Ireland, Government of",Government,IRL,2021,2021,,,,Concern Worldwide,NGO,Coordination and support services,IRL,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-04-09,2021-04-07,,619878,EUR,0.853,229685,Con HPP 2021,2021-04-10,2021-04-16
2021-04-07,2021,To save lives and alleviate suffering,254066,"Ireland, Government of",Government,IRL,2021,2021,,,,ACT Alliance / Christian Aid,NGO,Coordination and support services,IRL,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-04-09,2021-04-07,,216718,EUR,0.853,229690,CAID HPP 2021,2021-04-10,2021-04-16
2021-03-19,2021,To save lives and alleviate suffering,565496,"Ireland, Government of",Government,IRL,2021,2021,,,,Trocaire,NGO,Coordination and support services,IRL,,,,2021,2021,financial,Standard,Traditional aid,incoming,single,commitment,2021-03-19,2021-03-19,,473320,EUR,0.837,229172,Trocaire HPP 2021,2021-03-20,2021-03-22
