date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-06-02,,OCT 9696 [OCT 9696],60976,"Estonia, Government of",Government,EST,2021,2021,Ukraine Humanitarian Response Plan 2021,HUKR21,1015,Ukraine Humanitarian Fund,Pooled fund,,UKR,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-02,2021-06-28,,50000,EUR,0.82,234578,OCT 9696,2021-07-03,2021-07-05
2021-04-09,,Food Assistance for conflict affected populations in South Sudan,59737,"Estonia, Government of",Government,EST,2021,2021,South Sudan Humanitarian Response Plan 2021,HSSD21,1013,World Food Programme,UN agency,Food Security,SSD,Food Assistance for conflict affected populations in South Sudan,HSSD21-FSC-176256-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-16,2021-04-08,,,,,230794,10040680	No	LETTER OF 18 MACRH 21	EST-C-00034-01		SS01,2021-04-25,2021-04-25
2021-03-04,,Food,61200,"Estonia, Government of",Government,EST,2021,2021,Yemen Humanitarian Response Plan 2021,HYEM21,1024,World Food Programme,UN agency,Food Security,YEM,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-15,2021-03-04,,,,,230059,France	10040676	No	2021-01204710040625	No	12-1/1509	EST-C-00033-01	YE01		04/03/2021,2021-04-15,2021-04-15
