date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-06-04,2020,LUXEMBOURG - AFGHAN CHF APR21,426039,"Luxembourg, Government of",Government,LUX,2021,2021,Afghanistan Humanitarian Response Plan 2021,HAFG21,1031,Afghanistan Humanitarian Fund,Pooled fund,,AFG,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-06,2021-06-04,,349352,EUR,0.82,234844,MPTF 7673,2021-07-06,2021-07-06
2021-06-04,,LUXEMBOURG - CAR CHF APR21,365176,"Luxembourg, Government of",Government,LUX,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,Central African Republic Humanitarian Fund,Pooled fund,,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-06,2021-06-04,,299444,EUR,0.82,234853,MPTF 7673,2021-07-06,2021-07-06
2021-05-10,,Central Emergency Response Fund for 2021,6021500,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Central Emergency Response Fund,Pooled fund,,,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-21,2021-04-20,,5000000,EUR,0.8304,230578,,2021-05-13,2021-05-13
2021-05-03,,"LUXEMBOURG - DRC POOL APR21
* 7673",410317,"Luxembourg, Government of",Government,LUX,2021,2021,Democratic Republic of Congo Humanitarian Response Plan 2021,HCOD21,1026,Democratic Republic of the Congo Humanitarian Fund,Pooled fund,,COD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-07-05,2021-05-03,,350000,EUR,0.853,234758,7673,2021-07-05,2021-07-05
2021-03-12,,GLUX02 - ETH-SDN & LEB - Mar21,114929,"Luxembourg, Government of",Government,LUX,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,Education,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-09,2021-03-12,,93896,EUR,0.817,232022,E0078,2021-05-20,2021-05-20
2021-03-12,,GLUX02 - ETH-SDN & LEB - Mar21,7470,"Luxembourg, Government of",Government,LUX,2021,2021,Syria Refugee Response and Resilience Plan (3RP) 2021,RSYR21,1020,United Nations High Commissioner for Refugees,UN agency,,LBN,,,Syrian Arab Republic - Civil Unrest (from 2012),2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-09,2021-03-12,,6103,EUR,0.817,232023,E0078,2021-05-20,2021-05-20
2021-01-15,2021,support for families affected by forest fires and in need of emergency assistance in the Luhansk region,12165,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Luxembourg Red Cross,Red Cross/Red Crescent,,UKR,,,,2020,2020,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-18,2021-01-15,,10000,EUR,0.822,226965,AH/CR/2020/0010,2021-01-19,2021-01-19
2021-01-15,2021,Nepal: helping the victims of the 2020 monsoon in the province of Karnali,121655,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Luxembourg Red Cross,Red Cross/Red Crescent,"Health,Logistics,Protection - Housing, Land and Property,Water Sanitation Hygiene",NPL,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-18,2021-01-15,,100000,EUR,0.822,226966,AH/CR/2020/0011,2021-01-19,2021-01-19
2021-01-01,,"Renforcement de la protection des populations vulnérables à travers le relèvement, la réintégration et la mise en place des solutions Abris ; Tombouctou, Mali.",260736,"Luxembourg, Government of",Government,LUX,2021,2021,Mali Humanitarian Response Plan 2021,HMLI21,1036,Luxembourg Red Cross,Red Cross/Red Crescent,Emergency Shelter and NFI,MLI,"Renforcement de la protection des populations vulnérables à travers le relèvement, la réintégration et la mise en place des solutions durables en matière d’abris ",HMLI21-SHL-174457-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-12,2021-01-01,,212500,EUR,0.815,230393,,2021-04-19,2021-04-19
2021-01-01,,"Renforcement de la protection des populations vulnérables à travers le relèvement, la réintégration et la mise en place des solutions Abris ; Tombouctou, Mali.",46012,Luxembourg Red Cross,Red Cross/Red Crescent,LUX,2021,2021,Mali Humanitarian Response Plan 2021,HMLI21,1036,Luxembourg Red Cross,Red Cross/Red Crescent,Emergency Shelter and NFI,MLI,"Renforcement de la protection des populations vulnérables à travers le relèvement, la réintégration et la mise en place des solutions durables en matière d’abris ",HMLI21-SHL-174457-1,,2021,2021,financial,Standard,Traditional aid,outgoing,single,paid,2021-04-12,2021-01-01,,37500,EUR,0.815,230394,,2021-04-19,2021-04-19
2020-12-08,2020,Rehabilitation project in the Central African Republic,0,"Luxembourg, Government of",Government,LUX,2020,2021,,,,SOS Villages d'Enfants,NGO,,CAF,,,,2020,2021,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-01-18,2020-12-08,Multiyear,0,EUR,0.837,226928,AH/SOSI/2020/0002,2021-01-19,2021-01-19
2020-12-08,2021,Rehabilitation project in the Central African Republic (2021 portion),95579,"Luxembourg, Government of",Government,LUX,2021,2021,Central African Republic Humanitarian Response Plan 2021,HCAF21,1025,SOS Villages d'Enfants,NGO,Protection - Child Protection,CAF,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-18,2020-12-08,Multiyear,80000,EUR,0.837,226930,AH/SOSI/2020/0002,2021-01-19,2021-01-19
2020-12-08,2020,"Strengthening the resilience of displaced communities, refugees, returnees, returnees, and vulnerable hosts in the commune of Mainé Soroa, Diffa region in Niger",0,"Luxembourg, Government of",Government,LUX,2020,2022,,,,Luxembourg Red Cross,Red Cross/Red Crescent,,NER,,,,2020,2022,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-01-18,2020-12-08,Multiyear,0,EUR,0.837,226941,AH/CAR/2020/0001,2021-01-19,2021-04-14
2020-12-08,2021,"Strengthening the resilience of displaced communities, refugees, returnees, returnees, and vulnerable hosts in the commune of Mainé Soroa, Diffa region in Niger (2021 portion)",1107082,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Luxembourg Red Cross,Red Cross/Red Crescent,Emergency Shelter and NFI,NER,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-18,2020-12-08,Multiyear,926628,EUR,0.837,226943,AH/CAR/2020/0001,2021-01-19,2021-04-13
2020-12-08,2020,"Assistance with shelter and non-food items, water, hygiene and sanitation to support populations affected by flooding in the city of N'Djamena, Chad",0,"Luxembourg, Government of",Government,LUX,2020,2021,,,,Luxembourg Red Cross,Red Cross/Red Crescent,,TCD,,,,2020,2021,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-01-18,2020-12-08,Multiyear,0,EUR,0.837,226954,AH/CR/2020/0009,2021-01-19,2021-01-19
2020-12-08,2021,"Assistance with shelter and non-food items, water, hygiene and sanitation to support populations affected by flooding in the city of N'Djamena, Chad (2021 portion)",53763,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Luxembourg Red Cross,Red Cross/Red Crescent,"Emergency Shelter and NFI,Water Sanitation Hygiene",TCD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-18,2020-12-08,Multiyear,45000,EUR,0.837,226956,AH/CR/2020/0009,2021-01-19,2021-01-19
2020-12-08,2020,Community program for natural disaster risk reduction in northern and southern Bangladesh,2,"Luxembourg, Government of",Government,LUX,2020,2022,,,,Friendship Luxembourg,NGO,,BGD,,,,2020,2022,financial,Parked,Traditional aid,outgoing,shared,commitment,2021-01-18,2020-12-08,Multiyear,2,EUR,0.837,226958,AH/FI/2020/0001,2021-01-19,2021-01-19
2020-12-08,2021,Community program for natural disaster risk reduction in northern and southern Bangladesh (2021 portion),179934,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Friendship Luxembourg,NGO,Coordination and support services,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2021-01-18,2020-12-08,Multiyear,150605,EUR,0.837,226960,AH/FI/2020/0001,2021-01-19,2021-01-19
2020-12-03,2020,South Sudan - Rehabilitation of community health and nutrition services for a safe motherhood and childhood among pastoral populations of Kapotea,0,"Luxembourg, Government of",Government,LUX,2020,2021,,,,CARITAS,NGO,,SSD,,,,2020,2021,financial,Parked,Traditional aid,outgoing,shared,commitment,2020-12-04,2020-12-03,Multiyear,0,EUR,0.837,224798,AH/CAR/2020/0001,2020-12-05,2020-12-07
2020-12-03,2021,South Sudan - Rehabilitation of community health and nutrition services for a safe motherhood and childhood among pastoral populations of Kapotea (2021 portion),299582,"Luxembourg, Government of",Government,LUX,2021,2021,,,,CARITAS,NGO,Protection - Child Protection,SSD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2020-12-04,2020-12-03,Multiyear,250750,EUR,0.837,224800,AH/CAR/2020/0001,2020-12-05,2020-12-07
2019-12-18,2019,Community Initiated Disaster Risk Reduction for Coastal Areas of Bangladesh,0,"Luxembourg, Government of",Government,LUX,2019,2021,,,,Friendship Luxembourg,NGO,,BGD,,,,2019,2021,financial,Parked,Traditional aid,outgoing,shared,commitment,2019-12-18,2019-12-18,Multiyear,0,EUR,0.909,203121,AH/FI/2019/0001,2019-12-19,2020-03-19
2019-12-18,2021,Community Initiated Disaster Risk Reduction for Coastal Areas of Bangladesh (2021 portion),189559,"Luxembourg, Government of",Government,LUX,2021,2021,,,,Friendship Luxembourg,NGO,Coordination and support services,BGD,,,,2021,2021,financial,Standard,Traditional aid,outgoing,single,commitment,2019-12-18,2019-12-18,Multiyear,172309,EUR,0.909,203124,AH/FI/2019/0001,2019-12-19,2019-12-19
